facility_name,address,ward_name,lng,lat,recept_as,reception,workday
東京アスボクリニック,東京都中央区京橋2-2-1 京橋エドグラン24F,東京都中央区,139.769653,35.677307,,6665-0519,〈月・火・水・金〉午後2時半～4時半
京橋クリニック,東京都中央区京橋2-5-22 キムラヤビル2F,東京都中央区,139.770187,35.676357,,5579-5047,午前9時半～正午、午後2時半～5時
京橋整形外科,東京都中央区京橋2-8-21 喜久家ビル3F,東京都中央区,139.770874,35.67749,,3535-5700,午後3時～4時（平日のみ）
松本内科院,東京都中央区京橋2-11?5 パインセントラルビル5F,東京都中央区,139.771927,35.676216,,4405-7480,午前9時半～12時50分､午後2時半～5時50分
やべ耳鼻咽喉科,東京都中央区銀座1-6-13 106ギンザビル4F,東京都中央区,139.767349,35.674397,,3538-6366,午前9時～午後1時､午後2時～6時
吉川医院,東京都中央区銀座1-9-17,東京都中央区,139.768875,35.673927,,3561-4010,午前10時～正午、午後3時～5時半 （水曜・土曜は午前のみ）
有楽橋クリニック,東京都中央区銀座2-2-17 龍保険ビル4F,東京都中央区,139.76561,35.674606,,3567-8788,午前9時～午後3時
対馬ルリ子女性ライフクリニック銀座,東京都中央区銀座2-6-5 銀座トレシャス7F,東京都中央区,139.767105,35.673546,,3538-1202,午前10時～午後1時、午後2時～5時半
市川医院,東京都中央区銀座2-11-19  銀座市川ビル2F,東京都中央区,139.768753,35.671886,,3541-7202,午後3時半～5時半（平日のみ）（かかりつけ患者優先）
銀座スキンクリニック,東京都中央区銀座3-3-14 銀座グランディアビルII 3F,東京都中央区,139.765427,35.673176,,https://ginzaskin.com/,午前10時～午後6時 医院HPでも受け付けています。 0120-4103-53 
東銀座小川診療所,東京都中央区銀座3-12-7 原町ビル2F,東京都中央区,139.768768,35.670441,,http://ogawa-med.jp/,医院HPより予約案内あり。
木挽町医院,東京都中央区銀座4-11-4,東京都中央区,139.768372,35.670139,,3541-3800,〈平日〉午前9時～午後5時 〈土曜〉午前9時～正午
白倉内科診療所,東京都中央区銀座4-13-18 医療ビル1F,東京都中央区,139.768524,35.6693,,3543-4361,〈平日〉午前10時～午後1時、午後3時～5時 （水曜午後を除く）
銀座さわだ内科クリニック,東京都中央区銀座5-9-15 銀座清月堂ビル4F,東京都中央区,139.765121,35.670052,,3574-7784,午後3時半～5時（平日のみ）
西銀座診療所,東京都中央区銀座6-9-7 近畿建物銀座ビル3F,東京都中央区,139.763382,35.670025,,3573-3094,午前9時半～11時半（平日のみ）
銀座内科・神経内科クリニック,東京都中央区銀座6-12-10 銀座龍岡ビル2F,東京都中央区,139.764618,35.669136,,070-5460-7987,〈月・火・木・金〉午前11時～午後1時、午後3時半～5時半 〈水〉午前11時～午後1時
銀座ウィメンズクリニック,東京都中央区銀座6-12-13 大東銀座ビル4F,東京都中央区,139.764618,35.669136,,5537-7588,午後2時～3時（木・日・祝を除く） （原則、女性の方対象）
銀座在宅醫院　（※）,東京都中央区銀座7-11-6 GINZA ISONOビル5F,東京都中央区,139.763565,35.668327,,6826-1220,午前9時～正午（平日のみ）
小松診療所,東京都中央区銀座7-12-18 第一銀座ビル3F,東京都中央区,139.763824,35.668125,,3543-7611,〈平日〉午前10時～午後5時
銀座しまだ内科クリニック,東京都中央区銀座8-4-26 イワキビル4F,東京都中央区,139.759415,35.668674,,080-7699-8262,〈平日〉午前9時半～午後1時半、午後3時～6時
栗原クリニック,東京都中央区銀座8-12-5 峯田ビル3F,東京都中央区,139.762863,35.667397,,6278-8834,午前9時～10時（診察日のみ）
銀座ハートクリニック,東京都中央区銀座8-16-5 銀座中央ビル1F,東京都中央区,139.763611,35.665848,,070-2680-7698,〈月・火・水・金〉午後3時半～5時半
吉井医院,東京都中央区新富1-5-14,東京都中央区,139.772919,35.67244,,3551-2032,午前11時～正午､午後2時半～3時半（平日のみ）
新富げんかクリニック,東京都中央区新富2-14-5 不二窯業株式会社2F・3F,東京都中央区,139.774963,35.670658,,http://www.shintomi-genka-cl.jp/,午前10時～正午、午後3時～5時（平日のみ） 3551-4346
