facility_name,address,ward_name,lng,lat
内科・循環器科 あおやまクリニック,名古屋市千種区青柳町６－１０－２,名古屋市千種区,136.938095,35.15897
医）足立内科,名古屋市千種区東山通１－１２,名古屋市千種区,136.964355,35.163761
安藤内科外科医院,名古屋市千種区今池４－５－１８,名古屋市千種区,136.940552,35.169708
医）あんどうファミリークリニック,名古屋市千種区宮根台１－７－７,名古屋市千種区,136.979172,35.186638
池下えぐちクリニック,名古屋市千種区池下２－１－８,名古屋市千種区,136.945999,35.168755
医）社団エルム 伊藤クリニック,名古屋市千種区内山３－３１－１８ Ｔ-スクエア ２Ｆ,名古屋市千種区,136.935257,35.169823
伊東内科クリニック,名古屋市千種区山添町１－２６,名古屋市千種区,136.954544,35.163326
イノコシ外科内科リハビリテーション室,名古屋市千種区宮根台１－５－４,名古屋市千種区,136.981125,35.186813
今池南クリニック,名古屋市千種区今池１－２８－８,名古屋市千種区,136.935074,35.167542
ＭＴクリニック,名古屋市千種区谷口町５－２２－２,名古屋市千種区,136.953339,35.183407
大鹿内科医院,名古屋市千種区希望ヶ丘４－８－６,名古屋市千種区,136.973541,35.179104
奥村クリニック,名古屋市千種区今池３－１６－１２,名古屋市千種区,136.935684,35.165173
一般社）オリエンタル労働衛生協会,名古屋市千種区今池１－８－４,名古屋市千種区,136.936325,35.16901
医）生寿会 覚王山内科・在宅クリニック,名古屋市千種区覚王山通９－１９－８ ＫＩＲＡＲＩＴＯ覚王山 ２Ｆ ２Ａ号室,名古屋市千種区,136.951431,35.166225
樫尾クリニック,名古屋市千種区山門町１－７８,名古屋市千種区,136.954193,35.168591
医）昌峰会 加藤病院,名古屋市千種区末盛通２－１５,名古屋市千種区,136.956238,35.166164
河合まごころクリニック,名古屋市千種区宮根台２－１４－２２,名古屋市千種区,136.97876,35.183006
川脇クリニック,名古屋市千種区内山３－２５－６,名古屋市千種区,136.931595,35.170109
医）二昌会 小林整形外科,名古屋市千種区今池３－１６－１２ 三貴ビル １Ｆ,名古屋市千種区,136.935684,35.165173
さいとう内科クリニック,名古屋市千種区仲田２－１２－１０,名古屋市千種区,136.942459,35.169788
佐橋内科クリニック,名古屋市千種区千代田橋２－３１６,名古屋市千種区,136.970795,35.188118
しのだクリニック,名古屋市千種区田代本通５－１５,名古屋市千種区,136.953537,35.158813
医）二葉会 清水クリニック,名古屋市千種区今池５－１７－４,名古屋市千種区,136.939941,35.166767
自由ヶ丘医院,名古屋市千種区希望ケ丘１－７－１３,名古屋市千種区,136.969925,35.179115
末盛内科クリニック,名古屋市千種区末盛通３－６,名古屋市千種区,136.957916,35.165985
医）すぎやま内科,名古屋市千種区覚王山通８－７０－１,名古屋市千種区,136.947006,35.167221
芹沢クリニック,名古屋市千種区千代が丘４－６,名古屋市千種区,136.98436,35.18111
医）sennanaせんだファミリークリニック,名古屋市千種区北千種２－５－３０,名古屋市千種区,136.948013,35.179993
医）純正会 ソレイユ千種クリニック,名古屋市千種区千種２－２２－１,名古屋市千種区,136.924713,35.163166
高田クリニック,名古屋市千種区大島町１－１９－１,名古屋市千種区,136.952682,35.160542
医）豊隆会 ちくさ病院,名古屋市千種区今池南４－１,名古屋市千種区,136.938202,35.165188
服部形成外科・皮ふ科,名古屋市千種区山門町１－８０－４,名古屋市千種区,136.953812,35.168118
春岡通クリニック,名古屋市千種区春岡通５－１５,名古屋市千種区,136.940262,35.160946
医）順秀会 東山内科,名古屋市千種区東山通５－１０３,名古屋市千種区,136.972641,35.159416
医）光が丘内科クリニック,名古屋市千種区光が丘１－１６－２０,名古屋市千種区,136.973755,35.185207
ふきあげ内科胃腸科クリニック,名古屋市千種区千種３－７－１８,名古屋市千種区,136.935211,35.160805
医）ペイン池下クリニック,名古屋市千種区仲田２－１２－１０,名古屋市千種区,136.942459,35.169788
医）順秀会 星ヶ丘内科,名古屋市千種区井上町１１３ 星ヶ丘中央ビル ３Ｆ,名古屋市千種区,136.985275,35.16272
医）東恵会 星ヶ丘マタニティ病院,名古屋市千種区井上町２７,名古屋市千種区,136.983017,35.162445
水野宏胃腸科内科,名古屋市千種区今池４－１４－３,名古屋市千種区,136.939209,35.169388
医）順秀会 メディカルパーク今池,名古屋市千種区今池１－８－８ 今池ガスビル２Ｆ,名古屋市千種区,136.936325,35.16901
