facility_name,ward_name,address,lng,lat,reception,vaccine_type
あかいけ耳鼻いんこう科,愛知県日進市,愛知県日進市赤池町屋下394番地1,137.011017,35.125126,052-800-3335,ファイザー
アガペクリニック,愛知県日進市,愛知県日進市折戸町孫三ケ入61番地,137.043152,35.120811,0561-74-3000,ファイザー
いせき内科クリニック,愛知県日進市,愛知県日進市栄三丁目1311番地,137.053162,35.121941,0561-72-6555,ファイザー
いわさき耳鼻咽喉科,愛知県日進市,愛知県日進市竹の山二丁目2110番地,137.035812,35.158527,0561-75-4187,ファイザー
うかい医院,愛知県日進市,愛知県日進市東山四丁目621番地2,137.051041,35.127277,0561-74-1551,ファイザー
大口医院,愛知県日進市,愛知県日進市香久山五丁目1801番地 MIO香久山2階,137.027115,35.141888,052-807-5111,ファイザー
OBKタカEクリニック,愛知県日進市,愛知県日進市浅田町森下116-1,137.025284,35.129047,052-838-8686,ファイザー
かさしま耳鼻咽喉科クリニック,愛知県日進市,愛知県日進市栄四丁目103番地,137.052597,35.120937,0561-72-8733,ファイザー
金山クリニック,愛知県日進市,愛知県日進市藤塚三丁目565番地,137.035614,35.118675,0561-72-7111,ファイザー
きまたクリニック,愛知県日進市,愛知県日進市赤池南二丁目111番地,137.019073,35.115765,052-808-2233,ファイザー
こめの木いぐち眼科,愛知県日進市,愛知県日進市米野木町宮前107番地4,137.061523,35.13522,0561-76-3701,ファイザー
米野木ファミリークリニック,愛知県日進市,愛知県日進市米野木町油田157番地,137.067841,35.132515,0561-56-9276,ファイザー
笹本内科医院,愛知県日進市,愛知県日進市梅森台三丁目115番地,137.014648,35.137348,052-802-5641,ファイザー
佐藤クリニック,愛知県日進市,愛知県日進市米野木町丁田20番地1,137.056305,35.134777,0561-74-7888,ファイザー
三本木クリニック,愛知県日進市,愛知県日進市三本木町細廻間2番地1,137.083176,35.141827,0561-56-4532,ファイザー
志水医院,愛知県日進市,愛知県日進市岩崎町神明86番地,137.039383,35.144749,0561-72-1181,ファイザー
しんあいクリニック,愛知県日進市,愛知県日進市岩崎町北高上44番地4,137.033234,35.137615,0561-75-5300,ファイザー
杉上クリニック,愛知県日進市,愛知県日進市岩崎町芦廻間87番地1,137.027817,35.147812,0561-72-5050,ファイザー
杉本クリニック,愛知県日進市,愛知県日進市赤池一丁目3001番地 第25オーシャンプラザ 3階,137.019119,35.120918,052-801-1511,ファイザー
竹の山クリニック,愛知県日進市,愛知県日進市竹の山二丁目2412番地,137.033264,35.155788,0561-75-6050,ファイザー
たつらクリニック,愛知県日進市,愛知県日進市竹の山五丁目1501番地,137.041153,35.147552,0561-73-3636,ファイザー
立松整形外科・内科クリニック,愛知県日進市,愛知県日進市梅森町西田面17番地1,137.011963,35.130188,052-802-8600,ファイザー
つねかわファミリークリニック,愛知県日進市,愛知県日進市野方町稲荷2番地1,137.036545,35.130238,0561-76-2525,ファイザー
寺島ファミリアクリニック,愛知県日進市,愛知県日進市折戸町枯木166番地,137.051483,35.113529,0561-74-0311,ファイザー
なしのきクリニック,愛知県日進市,愛知県日進市折戸町梨子ノ木28番地651,137.056641,35.122913,0561-73-5052,ファイザー
日進胃腸科・外科,愛知県日進市,愛知県日進市栄三丁目1204番地,137.052429,35.12262,0561-72-5800,ファイザー
日進クリニック,愛知県日進市,愛知県日進市北新町二段場10番地,137.056351,35.157288,0561-73-9724,ファイザー
はやかわ子どもクリニック,愛知県日進市,愛知県日進市岩崎台四丁目1011番地,137.028091,35.152378,0561-75-0415,ファイザー
はる内科クリニック,愛知県日進市,愛知県日進市藤塚七丁目46番地,137.037659,35.110813,0561-72-2002,ファイザー
平針北クリニック,愛知県日進市,愛知県日進市赤池町屋下306番地2,137.008011,35.125515,052-803-1103,ファイザー
ふくおか内科クリニック,愛知県日進市,愛知県日進市赤池町屋下308番地1,137.008011,35.125515,052-804-1011,ファイザー
ふくしまファミリー内科,愛知県日進市,愛知県日進市岩崎台一丁目1239番地,137.023529,35.147724,0561-72-8222,ファイザー
プライムツリーこどもクリニック,愛知県日進市,愛知県日進市赤池町箕ノ手1番地 プライムツリー赤池 1F,137.021759,35.117123,052-875-5900,ファイザー
みやがわクリニック,愛知県日進市,愛知県日進市赤池三丁目2104番地,137.01709,35.11813,052-800-2277,ファイザー
