facility_name,address,ward_name,lng,lat,recept_as
大藤診療所,兵庫県尼崎市開明町2丁目43,兵庫県尼崎市,135.415909,34.71608,
あまがさき森内科・内視鏡ｸﾘﾆｯｸ,兵庫県尼崎市神田中通3-49,兵庫県尼崎市,135.412949,34.720001,
ナニワ診療所,兵庫県尼崎市神田中通9丁目291,兵庫県尼崎市,135.403351,34.722324,
にしむら胃腸科外科医院,兵庫県尼崎市神田南通2丁目35-1,兵庫県尼崎市,135.410172,34.720291,
堅田医院,兵庫県尼崎市神田南通4丁目103,兵庫県尼崎市,135.405975,34.721237,
緑清会樋口胃腸病院,兵庫県尼崎市昭和通1丁目17-6,兵庫県尼崎市,135.425735,34.719822,
近藤病院,兵庫県尼崎市昭和通4丁目114,兵庫県尼崎市,135.41391,34.721546,かかりつけ
築地医院,兵庫県尼崎市築地3丁目2-13,兵庫県尼崎市,135.418549,34.711948,
さくら内科クリニック,兵庫県尼崎市西難波町1丁目11-10,兵庫県尼崎市,135.40538,34.731438,
山口内科整形外科,兵庫県尼崎市西難波町1丁目31-4,兵庫県尼崎市,135.404312,34.729557,
かもいクリニック,兵庫県尼崎市西難波町3丁目23-8,兵庫県尼崎市,135.406067,34.724865,
しのざき医院,兵庫県尼崎市西難波町3丁目29-10,兵庫県尼崎市,135.404572,34.724224,
佐藤脳神経外科・内科クリニック,兵庫県尼崎市西難波町5丁目2-16,兵庫県尼崎市,135.406738,34.728432,かかりつけ
柳井医院,兵庫県尼崎市西本町8丁目371-1,兵庫県尼崎市,135.407288,34.718987,
たなかクリニック,兵庫県尼崎市東難波町1丁目1-6-101,兵庫県尼崎市,135.41246,34.732864,かかりつけ
いまきたﾌｧﾐﾘｰｸﾘﾆｯｸ,兵庫県尼崎市東難波町3丁目10-20,兵庫県尼崎市,135.411728,34.726234,
高診療所,兵庫県尼崎市御園町21-1F-102,兵庫県尼崎市,135.415939,34.717949,
高クリニック,兵庫県尼崎市杭瀬北新町2丁目3-13,兵庫県尼崎市,135.439636,34.723351,
浅野クリニック,兵庫県尼崎市杭瀬本町1丁目27-21,兵庫県尼崎市,135.441971,34.720249,
尼崎中央病院,兵庫県尼崎市潮江1丁目12-1,兵庫県尼崎市,135.434082,34.733829,かかりつけ
美濃内科,兵庫県尼崎市潮江1丁目29-10,兵庫県尼崎市,135.431564,34.735641,かかりつけ
渡部眼科,兵庫県尼崎市潮江1丁目3-43-2F,兵庫県尼崎市,135.431702,34.733875,
潮江診療所,兵庫県尼崎市下坂部1丁目7-7,兵庫県尼崎市,135.434769,34.741192,
にこにこクリニック,兵庫県尼崎市下坂部2丁目2-10,兵庫県尼崎市,135.434921,34.742355,
第一診療所,兵庫県尼崎市常光寺1丁目27-21,兵庫県尼崎市,135.438217,34.726608,
やまもと内科クリニック,兵庫県尼崎市次屋2丁目13-23,兵庫県尼崎市,135.43663,34.738174,かかりつけ
かいべクリニック,兵庫県尼崎市長洲西通1丁目4-15-2F,兵庫県尼崎市,135.430008,34.730579,
瀬尾クリニック,兵庫県尼崎市七松町1丁目2-1-302,兵庫県尼崎市,135.40097,34.737476,
皮フ科・形成外科かんだクリニック,兵庫県尼崎市七松町1丁目2-1-601D,兵庫県尼崎市,135.40097,34.737476,
めぐみ内科・糖尿病内科,兵庫県尼崎市七松町1丁目9-2-3F,兵庫県尼崎市,135.399261,34.736034,
深江医院,兵庫県尼崎市七松町1丁目10-20,兵庫県尼崎市,135.398636,34.735825,
勝谷医院,兵庫県尼崎市七松町2丁目17-21,兵庫県尼崎市,135.401535,34.735016,
立花三和クリニック,兵庫県尼崎市西立花町2丁目1-8,兵庫県尼崎市,135.398071,34.737064,
きたつじクリニック,兵庫県尼崎市西立花町3丁目1-1,兵庫県尼崎市,135.397949,34.734913,
飛松内科胃腸科医院,兵庫県尼崎市水堂町1丁目1-6,兵庫県尼崎市,135.396133,34.738873,かかりつけ
きむらたくや整形外科ｸﾘﾆｯｸ,兵庫県尼崎市水堂町1丁目3-1,兵庫県尼崎市,135.396103,34.739716,
辻岡医院,兵庫県尼崎市南七松町1丁目2-3,兵庫県尼崎市,135.400223,34.73336,かかりつけ
あいだクリニック,兵庫県尼崎市南武庫之荘2丁目22-12,兵庫県尼崎市,135.398514,34.747772,
第２あすか診療所,兵庫県尼崎市南武庫之荘3丁目30-12,兵庫県尼崎市,135.393097,34.746124,
槇林内科医院,兵庫県尼崎市南武庫之荘3丁目6-12,兵庫県尼崎市,135.394516,34.748932,かかりつけ
小泉クリニック,兵庫県尼崎市西昆陽2丁目35-1,兵庫県尼崎市,135.378342,34.774021,かかりつけ
高原クリニック,兵庫県尼崎市南武庫之荘1丁目15-5,兵庫県尼崎市,135.393021,34.749538,かかりつけ
わたなべクリニック,兵庫県尼崎市南武庫之荘1丁目18-1-101,兵庫県尼崎市,135.39209,34.750061,かかりつけ
とみた脳神経クリニック,兵庫県尼崎市武庫之荘1丁目18-5,兵庫県尼崎市,135.390625,34.753895,かかりつけ
いがらし耳鼻咽喉科,兵庫県尼崎市武庫之荘1丁目5-7,兵庫県尼崎市,135.392807,34.752384,かかりつけ
堀内小児科,兵庫県尼崎市武庫之荘2丁目5-2-201,兵庫県尼崎市,135.391418,34.752373,
山脇医院,兵庫県尼崎市武庫之荘3丁目3-1,兵庫県尼崎市,135.387939,34.75597,かかりつけ
みやうちクリニック,兵庫県尼崎市武庫之荘4丁目10-5,兵庫県尼崎市,135.390076,34.75573,かかりつけ
串田整形外科・リウマチ科ｸﾘﾆｯｸ,兵庫県尼崎市武庫之荘5丁目33-3,兵庫県尼崎市,135.389221,34.760685,
細川内科医院,兵庫県尼崎市武庫之荘6丁目25-15,兵庫県尼崎市,135.386093,34.762196,
中村クリニック,兵庫県尼崎市武庫元町1丁目27-1,兵庫県尼崎市,135.383255,34.758175,
脇坂憲昭記念循環器クリニック,兵庫県尼崎市武庫元町2丁目12-1-101,兵庫県尼崎市,135.381271,34.757278,
中家クリニック,兵庫県尼崎市猪名寺2丁目2-10,兵庫県尼崎市,135.427277,34.764626,かかりつけ
かねこ内科循環器クリニック,兵庫県尼崎市猪名寺3丁目5-15-2F,兵庫県尼崎市,135.421082,34.765316,かかりつけ
長洲診療所,兵庫県尼崎市長洲西通2丁目9-7,兵庫県尼崎市,135.428375,34.726494,
伊東外科医院,兵庫県尼崎市長洲東通1丁目7-10,兵庫県尼崎市,135.436722,34.72773,
上野医院,兵庫県尼崎市西川2丁目27-15,兵庫県尼崎市,135.443024,34.734943,かかりつけ
中井医院,兵庫県尼崎市浜2丁目5-9,兵庫県尼崎市,135.435577,34.73431,かかりつけ
大藤第三診療所,兵庫県尼崎市浜3丁目21,兵庫県尼崎市,135.440613,34.734993,
しまたに泌尿器科クリニック,兵庫県尼崎市稲葉荘2丁目6-20-2F,兵庫県尼崎市,135.386169,34.734966,
おおはら内科循環器科クリニック,兵庫県尼崎市稲葉元町2丁目16-27,兵庫県尼崎市,135.386932,34.737625,かかりつけ
鈴木耳鼻咽喉科医院,兵庫県尼崎市大庄北4丁目18-1,兵庫県尼崎市,135.389297,34.729946,
小川医院,兵庫県尼崎市道意町4丁目40-3,兵庫県尼崎市,135.395721,34.716698,
井上小児科,兵庫県尼崎市栗山町1丁目23-32,兵庫県尼崎市,135.409988,34.744583,
鈴木クリニック,兵庫県尼崎市栗山町2丁目13-1,兵庫県尼崎市,135.404633,34.746597,かかりつけ
白川内科,兵庫県尼崎市塚口町1-20-5,兵庫県尼崎市,135.412323,34.75404,
貝塚クリニック,兵庫県尼崎市立花町1丁目14-8,兵庫県尼崎市,135.400665,34.739349,かかりつけ
ゆたかクリニック,兵庫県尼崎市立花町1丁目5-15,兵庫県尼崎市,135.398911,34.739105,
尾崎医院,兵庫県尼崎市立花町3丁目16-30,兵庫県尼崎市,135.400208,34.743523,
立花病院,兵庫県尼崎市立花町4丁目3-18,兵庫県尼崎市,135.3983,34.73999,かかりつけ
はしもとクリニック,兵庫県尼崎市塚口町1丁目15-4,兵庫県尼崎市,135.414368,34.754578,かかりつけ
松﨑循環器内科,兵庫県尼崎市塚口町1丁目16-6,兵庫県尼崎市,135.413605,34.754883,かかりつけ
上原口泌尿器科,兵庫県尼崎市塚口町1丁目21-2,兵庫県尼崎市,135.411865,34.75404,かかりつけ
大石医院,兵庫県尼崎市塚口町1丁目22-17,兵庫県尼崎市,135.41243,34.754749,
ウィメンズクリニック横田,兵庫県尼崎市塚口町1丁目24-2,兵庫県尼崎市,135.41272,34.755466,
なかのクリニック,兵庫県尼崎市塚口町2丁目29-1,兵庫県尼崎市,135.41394,34.758415,かかりつけ
北村クリニック,兵庫県尼崎市塚口町6丁目20-13,兵庫県尼崎市,135.405731,34.758026,
兵頭内科眼科・ハートクリニック,兵庫県尼崎市塚口本町1丁目21-5,兵庫県尼崎市,135.418518,34.754543,
南川クリニック内科,兵庫県尼崎市塚口本町2丁目20-1,兵庫県尼崎市,135.418701,34.75515,
耳鼻咽喉科あらいクリニック,兵庫県尼崎市塚口本町3丁目29-25-1F,兵庫県尼崎市,135.420151,34.758564,
森クリニック,兵庫県尼崎市塚口本町3丁目32-20,兵庫県尼崎市,135.41983,34.759991,かかりつけ
森川内科クリニック,兵庫県尼崎市上坂部1丁目4-1,兵庫県尼崎市,135.427505,34.751083,
三宅医院,兵庫県尼崎市食満5-14-1,兵庫県尼崎市,135.436584,34.759483,かかりつけ
阪神医療生協 第三診療所,兵庫県尼崎市食満7丁目7-11,兵庫県尼崎市,135.434723,34.757759,かかりつけ
小中島診療所,兵庫県尼崎市小中島2丁目8-8,兵庫県尼崎市,135.442917,34.747437,かかりつけ
高橋クリニック,兵庫県尼崎市田能3丁目1-40,兵庫県尼崎市,135.440186,34.764854,
戸ノ内診療所,兵庫県尼崎市戸ﾉ内町3丁目29-8,兵庫県尼崎市,135.456406,34.737267,かかりつけ
戸ノ内共立診療所,兵庫県尼崎市戸ﾉ内町3丁目29-9,兵庫県尼崎市,135.456406,34.737267,
なりた医院,兵庫県尼崎市若王寺2丁目4-10,兵庫県尼崎市,135.433762,34.74865,
園田病院,兵庫県尼崎市東園田町2丁目48-7,兵庫県尼崎市,135.448486,34.75819,
はくほう会セントラル病院,兵庫県尼崎市東園田町4丁目-1-102,兵庫県尼崎市,135.447525,34.756973,
栗原医院,兵庫県尼崎市東園田町5丁目118-1-102,兵庫県尼崎市,135.448914,34.752098,
