facility_name,address,ward_name,lng,lat,exec_start,reception,workday,remark
慶宮医院,鶴見区市場西中町2-2,横浜市鶴見区,139.684631,35.516438,開始済,045-501-5361,水曜日12：30～13：30・変更される場合あり,接種は月・火・金　12時30分～・変更される場合あり
医療法人　畑医院,鶴見区市場西中町6-23,横浜市鶴見区,139.683792,35.517715,開始済,045-501-2019,木曜日を除く平日10時から11時まで,かかりつけの方優先で、月・火・水・金の15時～17時で実施
村上医院,鶴見区市場東中町10-25,横浜市鶴見区,139.685104,35.519859,開始済,045-501-7727,平日10時半から17時まで,
はたファミリークリニック,鶴見区市場東中町11-1,横浜市鶴見区,139.684631,35.519268,開始済,来院診察時,月・火・木・金9：00～12：00　15：00～17：00,接種月火木金10：00～12：00・15：00～17：00
ほしの耳鼻咽喉科医院,鶴見区市場富士見町11-17,横浜市鶴見区,139.689682,35.516052,開始済,045-504-4511,水曜日を除く平日、午後15時から18時まで,
医療法人社団崇英会冨士見クリニック,鶴見区市場富士見町8-8　日神パレステージ2F,横浜市鶴見区,139.688507,35.517139,開始済,070-8518-4550,水曜日13時~14時のみ、専用携帯電話にて受け付けます,接種に関する詳細は冨士見クリニックのHPをご覧ください。
渡辺医院,鶴見区潮田町3-133-2,横浜市鶴見区,139.68811,35.502789,開始済,045-501-6457,11時から11時30分まで　※6月2日から（75歳以上の方）6月16日から（70歳以上の方）,接種は月～土（木、土午後休診）、11時、15時から各30分位
古谷小児科,鶴見区潮田町２－１１３－１,横浜市鶴見区,139.686768,35.503708,開始済,045-501-9160,平日9時から12時（月～金）15時～18時（月火水金）,接種は水・木11：00～12：00で行います
佐藤医院,鶴見区江ヶ崎町12-19,横浜市鶴見区,139.673477,35.53447,開始済,045-571-4893,診療時間内であれば問い合わせ可能,診療時間内にお問い合わせください　ホームページなどもご参照ください
豊田医院,鶴見区上末吉1-13-16,横浜市鶴見区,139.669403,35.526188,開始済,045-581-7649,水曜日の11時から12時,接種日は日曜日。仮予約受付後、要来院。キャンセル待ちも募集。
ほほえみ内科クリニック,鶴見区岸谷1-22-22,横浜市鶴見区,139.665237,35.496117,開始済,045-580-0030,月9：00-18：00　水-土9：00-18：00,1回目予約終了。現在キャンセル待ち。次回6/21より予約開始
天野クリニック,鶴見区岸谷1－17－7,横浜市鶴見区,139.663651,35.497814,開始済,045-581-0082,平日9時から13時と15時から18時,接種は火・水・木で実施予定
ふくし内科クリニック,鶴見区駒岡4丁目18-20,横浜市鶴見区,139.657135,35.53495,開始済,045-573-7191,毎週金曜日午後から受付窓口にて直接予約,電話での予約は受け付けておりません、毎週金曜日午後窓口で予約
恵愛内科クリニック,鶴見区駒岡３－１８－５　メゾンユウユウ1F,横浜市鶴見区,139.653,35.529301,開始済,090-5540-8635,木曜日を除く平日9時から12時まで,週により火・水・金のうち2日、11:00～12:00で実施
医療法人社団育成社　佐々木病院,鶴見区下末吉1-13-8,横浜市鶴見区,139.670746,35.518864,開始済,内科外来受診時のみ,日曜、祝日を除く10時～12時,月・火・水・木・金　13:30から実施しています
医療法人社団健志会つるみクローバークリニック,鶴見区下末吉6-3-25 クリニックセンター三ツ池公園102,横浜市鶴見区,139.663773,35.519905,開始済,045-572-1900,日曜日・祝日を除く9時から18時半まで,接種の詳細は当院ホームページをご参照ください。
小出内科・胃腸科,鶴見区鶴見1-11-17,横浜市鶴見区,139.673431,35.50211,開始済,045-584-8733,日曜・月曜・火曜・金曜・土曜の午前9時30分～12時まで,予約飽和状態です。7月には何とか接種体制を整備する予定です。
早川医院,鶴見区鶴見中央１-８-10　１F,横浜市鶴見区,139.677261,35.508869,開始済,045-501-7070,木曜日の１４時から１５時まで,接種は水10：00～13：00で実施しています。
井澤耳鼻咽喉科医院,鶴見区鶴見中央１－２６－３　FKビル１F,横浜市鶴見区,139.678268,35.508953,開始済,http://ssc5.doctorqube.com/izawa_ent/,２４時間対応（ウェブ対応のみ）,1回目と2回目(3週間後の同日、同時間)とも来院できる方のみ
医療法人秋陽記念会　あしほ総合クリニック,鶴見区鶴見中央3-10,横浜市鶴見区,139.686722,35.510887,開始済,045-508-1755,月曜日から土曜日　12時30分から13時まで,接種は火・水・木・金の午後を予定しています
渡部クリニック,鶴見区鶴見中央3-19-11　ココファン鶴見1階,横浜市鶴見区,139.683487,35.509193,開始済,045-506-3657,木曜日を除く平日9-11:30、14-17:30,
早苗クリニック,鶴見区鶴見中央4-1-3 4階,横浜市鶴見区,139.677917,35.507061,開始済,045-501-1070,水曜、土曜、日曜以外の午後4時から6時まで,"接種は7月金土10;00~11;30（2,3.23,24不可"
嶺整形外科クリニック,鶴見区鶴見中央　１－６－８－２F,横浜市鶴見区,139.677887,35.508919,開始済,080-3150-7766,月～水曜日　12:00～13:00まで,接種は月・水・金12:00～13:00まで実施しています.
鶴見皮ふ科泌尿器科,鶴見区鶴見中央１－１０－１７カパーラ鶴見１０１,横浜市鶴見区,139.677628,35.509476,開始済,045-501-7181,月曜、火曜12時半から13時半,事前説明会があります。
石井小児科・心臓小児科,鶴見区鶴見中央1-19-4,横浜市鶴見区,139.678101,35.509495,開始済,045-500-1020,木曜日、土曜日を除く平日11時から12時,かかりつけ優先
鶴見中央クリニック,鶴見区鶴見中央3-1-27,横浜市鶴見区,139.681061,35.509476,開始済,045-506-5554,木曜日、土曜日を除く平日13時から15時まで,接種は日曜日となります
鶴見東口やはらクリニック,鶴見区鶴見中央1-19-4 2階,横浜市鶴見区,139.678101,35.509495,開始済,045-642-3710,月・火・木・金の12時から15時、土の13時から16時,接種は月・火・木・金の10時から11時、日時の指定は不可
橋本クリニック,鶴見区寺谷2－6－16,横浜市鶴見区,139.670837,35.512012,開始済,045-581-7700,木曜日を除く平日14時から17時30分まで,
医療法人朋山会山田医院,鶴見区寺谷１－３－２－１F,横浜市鶴見区,139.671707,35.510788,開始済,045-581-3387,月水金14時から15時30分,月火水金の9時から12時まで実施しています
おおたわ消化器内科外科,鶴見区豊岡町13-3 T.Iビル1階,横浜市鶴見区,139.673981,35.510387,開始済,045-581-1691,水曜日、第2木曜日を除く平日9時から18時まで,週間接種者数126名に達した時点で締め切らせていただきます。
