facility_name,address,ward_name,lng,lat,reception,remark,other
浅野内科医院,岡山市北区富田町1-7-18,岡山市北区,133.923828,34.6702,086-225ｰ1662,岡山中央,電話
畝木医院,岡山市北区平和町1-1,岡山市北区,133.923187,34.665237,086-225ｰ1191,岡山中央,電話
大森クリニック,岡山市北区中山下1-6-18,岡山市北区,133.926773,34.664501,086-222ｰ6369,岡山中央,電話
おくむら大腸肛門クリニック,岡山市北区中山下2-2-74,岡山市北区,133.927536,34.661465,086-222ｰ4507,岡山中央,電話
表町診療所,岡山市北区丸の内1-11-14,岡山市北区,133.931595,34.662907,086-233ｰ0012,岡山中央,ネット（県共通予約システム）
表町ファミリークリニック,岡山市北区表町3-10-71,岡山市北区,133.930008,34.6576,086-222ｰ4939,岡山中央,ネット（県共通予約システム）
亀山内科,岡山市北区平和町5-1-201,岡山市北区,133.923172,34.663986,086-223ｰ7479,岡山中央,ネット（県共通予約システム）
河合内科,岡山市北区中山下2-2-63,岡山市北区,133.927536,34.661465,086-223ｰ2704,岡山中央,電話
神崎皮膚科,岡山市北区平和町５ｰ１ アミティ西川3F,岡山市北区,133.923172,34.663986,086-223ｰ6979,岡山中央,電話とネット（県共通予約システム）両方
小塚内科,岡山市北区磨屋町10-20 磨屋町ビル2階,岡山市北区,133.925842,34.662682,086-232ｰ8376,岡山中央,ネット（県共通予約システム）
佐藤内科,岡山市北区中山下1-2-40,岡山市北区,133.927689,34.665089,ー,岡山中央,ネット（県共通予約システム）
進藤内科医院,岡山市北区番町2-3-13,岡山市北区,133.926743,34.674622,086-223ｰ5087,岡山中央,電話
時岡内科循環器科医院,岡山市北区蕃山町8-13,岡山市北区,133.927628,34.666374,086-223ｰ2657,岡山中央,電話
飛岡内科医院,岡山市北区中山下2-8-30,岡山市北区,133.926636,34.659893,086-233ｰ1188,岡山中央,電話
内藤医院,岡山市北区野田屋町2-5-24,岡山市北区,133.923843,34.668018,086-223ｰ9761,岡山中央,電話
永瀬内科医院,岡山市北区中山下1-9-53,岡山市北区,133.927521,34.663128,086-222-2534,岡山中央,電話
久松内科循環器科医院,岡山市北区中山下1-9-40 新岡山ビル10階,岡山市北区,133.927521,34.663128,086-225ｰ7373,岡山中央,電話
平松医院,岡山市北区磨屋町9-5,岡山市北区,133.924469,34.662739,086-232ｰ1070,岡山中央,電話
南方クリニック,岡山市北区南方3-10-33,岡山市北区,133.926727,34.677673,086-224ｰ3739,岡山中央,電話
物部内科医院,岡山市北区蕃山町3-28,岡山市北区,133.926651,34.667683,086-222ｰ2112,岡山中央,電話
山下内科医院,岡山市北区駅前町1-2-14,岡山市北区,133.919769,34.666298,086-224ｰ1034,岡山中央,電話
やまもとこどもクリニック,岡山市北区内山下1-3-13,岡山市北区,133.932327,34.662136,080-2891-1575,岡山中央,ネット（県共通予約システム）
やわらぎクリニック,岡山市北区内山下1-7-17 コモンライフやわらぎ2F,岡山市北区,133.930878,34.660831,086-233ｰ1600,岡山中央,電話
旭クリニック,岡山市北区中井町1-1-7,岡山市北区,133.928772,34.680283,086-227ｰ1087,岡北,電話
岡山東部脳神経外科病院,岡山市北区牟佐96-1,岡山市北区,133.983765,34.725803,086-229ｰ1188,岡北,ネット（県共通予約システム）
キタカタクリニック,岡山市北区大和町2-8-23,岡山市北区,133.92804,34.682732,086-226ｰ2821,岡北,ネット（県共通予約システム）
岡北整形外科医院,岡山市北区津島東2-7-1,岡山市北区,133.928696,34.68832,086-255ｰ0777,岡北,電話
にいや内科クリニック,岡山市北区北方2-1-30,岡山市北区,133.928726,34.686577,086-803ｰ2189,岡北,ネット（県共通予約システム）
藤本循環器内科クリニック,岡山市北区北方1-14-14,岡山市北区,133.930954,34.684937,086-222ｰ1505,岡北,電話
水川内科小児科医院,岡山市北区原346-3,岡山市北区,133.94516,34.704891,086-228ｰ2524,岡北,電話
三戸内科医院,岡山市北区牟佐168-3,岡山市北区,133.984177,34.730804,ー,岡北,ネット（県共通予約システム）
江口小児科,岡山市北区伊島北町1-22,岡山市北区,133.908478,34.680889,086-214ｰ1177,京山,ネット（県共通予約システム）
岡山済生会外来センター病院,岡山市北区伊福町1-17-18,岡山市北区,133.917374,34.670689,ー,京山,ネット（県共通予約システム）
岡山中央病院,岡山市北区伊島北町6-3,岡山市北区,133.904694,34.681171,086-252ｰ3221,京山,ネット（県共通予約システム）
岸医院,岡山市北区伊福町3-26-27,岡山市北区,133.912277,34.674587,086-252ｰ1885,京山,電話
西下内科医院,岡山市北区津島西坂1-2-41,岡山市北区,133.905167,34.682198,086-253-8131,京山,ネット（県共通予約システム）
こばし医院,岡山市北区津島西坂2-2-20,岡山市北区,133.908218,34.682884,086-251ｰ3131,京山,ネット（県共通予約システム）
淳風会ロングライフホスピタル,岡山市北区万成東町3-1,岡山市北区,133.894699,34.673138,086-252ｰ1185,京山,ネット（県共通予約システム）
つしまクリニック,岡山市北区津島福居1-2-15,岡山市北区,133.914246,34.687641,086-251ｰ3388,京山,ネット（県共通予約システム）
どうまえ耳鼻咽喉科,岡山市北区津島西坂2-1-7,岡山市北区,133.908356,34.68222,086-255ｰ3387,京山,ネット（県共通予約システム）
永瀬ファミリークリニック,岡山市北区伊島町2-1-37,岡山市北区,133.912216,34.678448,086-252ｰ6909,京山,電話
ながはら医院,岡山市北区伊福町4-5-45,岡山市北区,133.911026,34.674656,086-256ｰ2858,京山,電話
服部皮膚科アレルギー科,岡山市北区清心町3-24,岡山市北区,133.918472,34.672543,086-254ｰ2323,京山,ネット（県共通予約システム）
福島内科医院,岡山市北区清心町3-18,岡山市北区,133.918472,34.672543,086-255ｰ1281,京山,電話
ほそたにクリニック,岡山市北区津島南2-5-25,岡山市北区,133.910339,34.682453,086-251ｰ1100,京山,電話
万成病院,岡山市北区谷万成1-6ｰ5,岡山市北区,133.898315,34.676514,086-252ｰ2261,京山,電話
三浦内科医院,岡山市北区伊福町2-27-30,岡山市北区,133.91452,34.674805,086-252ｰ6783,京山,電話
いのくち内科クリニック,岡山市北区大安寺東町23-15,岡山市北区,133.889862,34.664791,086-253ｰ8000,石井,ネット（県共通予約システム）
河合内科西口クリニック,岡山市北区奉還町1-2-3,岡山市北区,133.917694,34.668381,086-251ｰ2491,石井,電話
河田内科クリニック,岡山市北区富町2-14-7,岡山市北区,133.908844,34.664703,086-251ｰ1600,石井,電話
河田病院,岡山市北区富町2-15-21,岡山市北区,133.908859,34.664173,086-252ｰ1231,石井,ネット（県共通予約システム）
きらめきクリニック,岡山市北区下伊福1-2-6,岡山市北区,133.906097,34.666336,086-252-5358,石井,ネット（県共通予約システム）または電話、窓口で直接
佐々木医院,岡山市北区西崎本町4-3,岡山市北区,133.896927,34.666962,086-253ｰ0230,石井,電話
さとうファミリークリニック,岡山市北区野殿東町1-35,岡山市北区,133.883179,34.658405,086-254ｰ5500,石井,ネット（県共通予約システム）
すなみ内科,岡山市北区大安寺東町7-1,岡山市北区,133.889786,34.662754,086-255-7265,石井,電話
同仁病院,岡山市北区下伊福上町15-7,岡山市北区,133.902237,34.667919,086-252ｰ2661,石井,来院にて受付
ルスコクリニック,岡山市北区大安寺南町1-7-33,岡山市北区,133.890518,34.65992,086-201ｰ0631,石井,電話
伊藤整形外科医院,岡山市北区鹿田本町1-15,岡山市北区,133.91713,34.65197,086-232-8280,桑田,ネット（県共通予約システム）
