facility_name,ward_name,address,lng,lat,reception,recept_as
五島整形外科クリニック,大阪府東大阪市,大阪府東大阪市旭町3-5,135.639816,34.665283,072(984)3600,かかりつけ患者のみ
枚岡病院,大阪府東大阪市,大阪府東大阪市出雲井本町3-25,135.646332,34.66964,072(982)1125,かかりつけ患者のみ
門脇医院,大阪府東大阪市,大阪府東大阪市神田町3-11,135.639481,34.660423,072(984)0330,かかりつけ患者のみ
松浦医院,大阪府東大阪市,大阪府東大阪市喜里川町1-24,135.640747,34.667278,072(988)0788,かかりつけ患者のみ
内科・泌尿器科さとうクリニック,大阪府東大阪市,大阪府東大阪市喜里川町3-13阪田屋ビル1階,135.640488,34.665352,072(984)3101,かかりつけ患者のみ
藤戸小児科,大阪府東大阪市,大阪府東大阪市日下町3-2-35,135.64595,34.690804,070(1265)8831,
中川内科クリニック,大阪府東大阪市,大阪府東大阪市日下町3-5-30,135.644699,34.691765,072(982)7714,かかりつけ患者のみ
佐々木整形外科,大阪府東大阪市,大阪府東大阪市四条町1-14フォーチュンコート2階,135.640244,34.659473,072(986)8288,かかりつけ患者のみ
福田クリニック,大阪府東大阪市,大阪府東大阪市四条町1-14フォーチュンコート4階南,135.640244,34.659473,072(980)5585,かかりつけ患者のみ
浅川クリニック,大阪府東大阪市,大阪府東大阪市下六万寺町1-1-5,135.638229,34.651863,072(981)1008,
溝畑クリニック,大阪府東大阪市,大阪府東大阪市下六万寺町2-2-10,135.638351,34.652653,072(985)0032,かかりつけ患者のみ
しんいけクリニック,大阪府東大阪市,大阪府東大阪市新池島町2-13-21,135.628433,34.658337,072(987)0505,
こばやし内科呼吸器クリニック,大阪府東大阪市,大阪府東大阪市末広町3-7ファースト瓢箪山100号室,135.638397,34.655872,072(940)7072,かかりつけ患者のみ
横内内科,大阪府東大阪市,大阪府東大阪市鷹殿町2-5,135.639587,34.66914,072(986)2780,かかりつけ患者のみ
杉岡医院,大阪府東大阪市,大阪府東大阪市豊浦町14-1,135.648773,34.673122,072(984)9386,
いわさきクリニック内科呼吸器科,大阪府東大阪市,大阪府東大阪市鳥居町8-6,135.64267,34.670177,072(986)1400,かかりつけ患者のみ
田邊整形外科医院,大阪府東大阪市,大阪府東大阪市中石切町1-9-18,135.643326,34.684673,072(988)5557,
森外科・内科クリニック,大阪府東大阪市,大阪府東大阪市中石切町2-4-29,135.645935,34.686661,072(984)0777,
金澤クリニック,大阪府東大阪市,大阪府東大阪市西石切町1-11-18,135.642563,34.679806,072(985)6951,かかりつけ患者のみ
大久保小児科医院,大阪府東大阪市,大阪府東大阪市西石切町1-11-20新石切出口正ビル2階,135.642563,34.679806,072(984)1118,
西川クリニック,大阪府東大阪市,大阪府東大阪市箱殿町5-1,135.641479,34.672955,072(983)7088,
田渕クリニック,大阪府東大阪市,大阪府東大阪市東山町1-10,135.641327,34.67696,072(988)5727,
