facility_name,address,ward_name,reception,recept_as,vaccine_type,lng,lat
社会医療法人行岡医学研究会行岡病院,大阪市北区浮田２―２―３,大阪市北区,06-6371-9921,かかりつけ,ファイザー,135.5093044,34.7101963
社会医療法人　協和会　加納総合病院,大阪市北区天神橋７―５―１５,大阪市北区,06-6351-5381,かかりつけ,ファイザー,135.5115026,34.71261215
医療法人石井クリニック,大阪市北区菅栄町１０―１２,大阪市北区,06-6357-3313,かかりつけ,ファイザー,135.5126671,34.70890892
医療法人　さたクリニック,大阪市北区長柄中１―５―１６,大阪市北区,,かかりつけ,ファイザー,135.515519,34.71151834
クリニック小早川,大阪市北区天神橋2-2-23,大阪市北区,06-4801-0212,かかりつけ,ファイザー,135.5117267,34.69605076
医療法人　至心会　整形外科もりたクリニック,大阪市北区本庄東２－１－２３,大阪市北区,06-6373-8686,かかりつけ,ファイザー,135.5105079,34.71285111
いわいレディースクリニック,大阪市北区天神橋４－１１－６　ミクシーワンビル３F,大阪市北区,,かかりつけ,ファイザー,135.5114205,34.70584079
大ビル湯徳医院,大阪市北区中之島３－３－２３　５F,大阪市北区,,かかりつけ,ファイザー,135.4935458,34.69354511
医療法人見宜堂　梅田血管外科クリニック,大阪市北区曽根崎２－１－１２　国道ビル５Ｆ,大阪市北区,06-6311-2856,かかりつけ,ファイザー,135.5018009,34.69844673
医療法人華風会　ボークリニック,大阪市北区梅田２－５－２５　梅田阪神第１ビルディング４階,大阪市北区,,かかりつけ,ファイザー,135.4929858,34.69852639
医療法人健優会にしむら内科・糖尿病クリニック,大阪市北区芝田一丁目１０番８号山中ビル６Ｆ,大阪市北区,06-6375-4976,かかりつけ,ファイザー,135.4968362,34.70739883
医療法人つとむ会　澤田内科医院,大阪市北区梅田１―２―２―２００　大阪駅前第２ビル２階,大阪市北区,,一般,ファイザー,135.4981985,34.6989019
イークリニック,大阪市北区本庄西１ー１３ー１５　ファッションナオミ１階,大阪市北区,06-6292-0166,一般,ファイザー,135.504058,34.7118066
加納内科,大阪市北区中之島６―２―２７　中之島センタービル18F,大阪市北区,,一般,ファイザー,135.4843547,34.68678448
祐斎堂森本クリニック,大阪市北区天神橋５―７―１０　さかしん天神橋ビル２Ｆ,大阪市北区,06-4800-3010,一般,ファイザー,135.5110036,34.70707463
医療法人医心会扇町メディカルクリニック,大阪市北区神山町１―７　アーバネックス神山町ビル２Ｄ,大阪市北区,06-6364-2023,一般,ファイザー,135.5068182,34.70254861
医療法人美和会平成クリニック,大阪市北区中津一丁目１１番６号,大阪市北区,,一般,ファイザー,135.4963485,34.71110588
今村クリニック,大阪市北区梅田３―１―１　サウスゲートビル１７階,大阪市北区,06-6341-5881,一般,ファイザー,135.4953262,34.70209616
梅田ＮＯＲＩ内科・消化器内科クリニック,大阪市北区小松原町３－３　ＯＳビル８階,大阪市北区,06-6131-1085,一般,ファイザー,135.5002363,34.70284445
堂島内科・消化器内科クリニック,大阪市北区堂島2-4-27　新藤田ビルB1F,大阪市北区,06-6343-1000,一般,ファイザー,135.4930867,34.69621598
大阪駅前こころのクリニック,大阪市北区芝田２丁目１番１８号西阪急ビル地下１階,大阪市北区,,一般,ファイザー,135.4968549,34.70568912
医療法人佐藤内科クリニック,大阪市北区天神橋4-6-14,大阪市北区,06-6353-3838,一般,ファイザー,135.5115068,34.70314726
医療法人国崇会　北中レディースクリニック,大阪市北区梅田２－２－２　ヒルトンプラザウェスト４Ｆ,大阪市北区,06-6348-1404,一般,ファイザー,135.4953129,34.69948669
医療法人メディカル春日会　革嶋クリニック,大阪市北区梅田２－４－１３　阪神産経桜橋ビル２Ｆ,大阪市北区,06-6455-2000,一般,ファイザー,135.4936837,34.69814976
みずのクリニック,大阪市北区本庄東２－１０－２１　メゾンドアヴェルＩＶ　１階,大阪市北区,06-6459-7680,一般,ファイザー,135.5075034,34.71377864
医療法人一山十会　スカイナイトクリニック,大阪市北区大淀中一丁目１番８８号　梅田スカイビルタワーイースト７階,大阪市北区,06-6136-3991,一般,ファイザー,135.4906514,34.70501525
医療法人朋詠会　たむらクリニック,大阪市北区天神橋8-9-10,大阪市北区,06-6242-0140,一般,ファイザー,135.5117835,34.71684926
梅田内科ファミリークリニック,大阪市北区梅田１－８－１６　ヒルトンプラザイースト５階,大阪市北区,06-6341-8008,一般,ファイザー,135.4960084,34.70049727
医療法人天五診療所,大阪市北区池田町６－１０－２０１,大阪市北区,06-6355-1003,一般,ファイザー,135.5123902,34.70754582
福永診療所,大阪市北区堂島２－１－４３,大阪市北区,06-6348-1667,一般,ファイザー,135.4953434,34.69604775
大阪ヘルスケアクリニック,大阪市北区本庄東1-22-1,大阪市北区,06-6372-8639,一般,ファイザー,135.5077057,34.71049564
もりた堂島クリニック,大阪市北区堂島１－６－２０　堂島アバンザ５階,大阪市北区,06-6345-0946,一般,ファイザー,135.4965823,34.69667969
先進会眼科大阪,大阪市北区小松原町３番３号ＯＳビル１７Ｆ,大阪市北区,06-4309-6210,一般,ファイザー,135.5002363,34.70284445
このまち健診クリニック東天満,大阪市北区東天満1‐1‐15,大阪市北区,06-6948-5303,一般,ファイザー,135.5177071,34.696326
医療法人OST　サニークリニック,大阪市北区曽根崎2丁目12番4号コフレ梅田7階,大阪市北区,06-7639-7200,一般,ファイザー,135.4997703,34.70090574
あかさかファミリークリニック,大阪市北区天満2-15-15　2・3階,大阪市北区,080-9567-4533 13：30～18：00 （月・火・水・金）,一般,ファイザー,135.5166354,34.69580637
M's CLINIC 梅田駅前,大阪市北区堂山町18-2　若杉東梅田ビル５F,大阪市北区,06-6311-5770,一般,ファイザー,135.5023486,34.70472363
天神橋クリニック,大阪市北区天神橋6-7-10　GAZELLE RIO.6 3F,大阪市北区,06-6353-7301,一般,ファイザー,135.5109141,34.71027435
レディース＆ＡＲＴ　クリニック　サンタクルス　ウメダ,大阪市北区茶屋町8-26　ＮＵ茶屋町プラス3階,大阪市北区,06-6374-1188,一般,ファイザー,135.499878,34.70734627
新明会　神原病院,大阪市都島区高倉町1丁目10番5号,大阪市都島区,06-6923-3351,かかりつけ,ファイザー,135.5311983,34.7138979
駒木医院,大阪市都島区都島中通２―５―１４,大阪市都島区,06-6921-7361,かかりつけ,ファイザー,135.533821,34.70340776
医療法人　泉野医院,大阪市都島区都島本通４―２０―３５,大阪市都島区,06-6921-0187,かかりつけ,ファイザー,135.5305895,34.70804154
医療法人　福愛会　いんべ診療所,大阪市都島区毛馬町１―８―４,大阪市都島区,,かかりつけ,ファイザー,135.5224571,34.71975096
医療法人　池田医院,大阪市都島区大東町１―９―１,大阪市都島区,06-6921-1994,かかりつけ,ファイザー,135.5290244,34.72252467
得能クリニック,大阪市都島区高倉町1丁目１１番３号　クオーレＶＥＧＡⅡ１階,大阪市都島区,06-6925-3301,かかりつけ,ファイザー,135.5312029,34.71416936
おぐる医院,大阪市都島区毛馬町２ー１１－３６ー１０７,大阪市都島区,,かかりつけ,ファイザー,135.5235505,34.72183555
コープ都島クリニック,大阪市都島区都島本通３ー１７ー１０,大阪市都島区,06-6923-3719,かかりつけ,ファイザー,135.5273723,34.70810879
ふなうち内科クリニック,大阪市都島区友渕町２―１―５ ともぶちクリニックビル4階,大阪市都島区,06-4253-5070,かかりつけ,ファイザー,135.5278996,34.71286556
医療法人柳田内科,大阪市都島区都島南通２―４―８,大阪市都島区,06-6922-5245,かかりつけ,ファイザー,135.5335917,34.70104583
医療法人社団　宏久会　泉岡医院,大阪市都島区東野田町５－５－８,大阪市都島区,,かかりつけ,ファイザー,135.5350657,34.69981802
医療法人紀光会　平井クリニック,大阪市都島区中野町５―１３―４　タワープラザアベニュー１階,大阪市都島区,,かかりつけ,ファイザー,135.5209287,34.70804793
医療法人医聖会玉城クリニック,大阪市都島区都島本通１―２１―２２　メディコート２階,大阪市都島区,,かかりつけ,ファイザー,135.5233778,34.70988687
しゃくど循環器科・内科,大阪市都島区高倉町２―９―８　高倉マンション１階,大阪市都島区,,かかりつけ,ファイザー,135.53195,34.71756703
遠藤クリニック,大阪市都島区都島本通3丁目16番10号福祉ビル1階,大阪市都島区,,かかりつけ,ファイザー,135.5285497,34.7077999
医療法人浩佑会　ごとう内科クリニック,大阪市都島区善源寺町２－２－２２　善源寺メディカルモール２階,大阪市都島区,,かかりつけ,ファイザー,135.5244887,34.71180141
祐クリニック,大阪市都島区都島本通３－２８－１２,大阪市都島区,06-6926-0103,かかりつけ,ファイザー,135.5299656,34.7086838
ふるおかクリニック,大阪市都島区内代町2-3-24,大阪市都島区,06-6951-2666,かかりつけ,ファイザー,135.5368482,34.71083428
医療法人　武内小児科・内科,大阪市都島区善源寺町２ー３ー２５,大阪市都島区,06-6922-4158,一般,ファイザー,135.5273419,34.71100494
医療法人尽生会　聖和病院,大阪市都島区中野町１―７―３２,大阪市都島区,06-6352-4764,一般,ファイザー,135.5255315,34.69885254
柏井内科,大阪市都島区友渕町１―６―３　ローレルスクエア都島ノースウィング１階,大阪市都島区,06-6926-3101,一般,ファイザー,135.5264929,34.7152673
医療法人北村医院,大阪市都島区片町２―４―５　京橋駅前ビル１階,大阪市都島区,06-6351-6764,一般,ファイザー,135.532554,34.69681775
医療法人けやき会　やぎクリニック,大阪市都島区内代町１―２―３２　サンシャイン８８　１階,大阪市都島区,06-6954-0100,一般,ファイザー,135.5369853,34.70864072
医療法人梅本会　梅本耳鼻咽喉科,大阪市都島区善源寺町１―５―５４　３Ｆ,大阪市都島区,06-6924-3387,一般,ファイザー,135.5259631,34.70921127
安芸医院,大阪市都島区中野町１―３―１８,大阪市都島区,06-6881-2005,一般,ファイザー,135.5260375,34.6978084
医療法人　とおやま耳鼻咽喉科,大阪市都島区御幸町1丁目9番1号,大阪市都島区,06-6923-4187,一般,ファイザー,135.5326916,34.71437882
鈴木内科クリニック,大阪市都島区東野田町２―９―７　Ｋ２ビル１階,大阪市都島区,06-6351-1002,一般,ファイザー,135.5313747,34.69821543
こうり眼科クリニック,大阪市都島区善源寺町一丁目５番５４号都島高砂ビル５階,大阪市都島区,06-6929-4345,一般,ファイザー,135.5259631,34.70921127
こおりやま小児科,大阪市都島区善源寺町２－２－２２　２Ｆ,大阪市都島区,06-6926-1155,一般,ファイザー,135.5244887,34.71180141
おたきクリニック,大阪市都島区都島北通１－１３－１３,大阪市都島区,06-6180-6700,一般,ファイザー,135.5280685,34.71131851
医療法人天野クリニック,大阪市都島区大東町２－５－２４,大阪市都島区,06-6927-7500,一般,ファイザー,135.5282428,34.72378438
大阪市立総合医療センター,大阪市都島区都島本通２丁目１３?２２,大阪市都島区,06-6929-3641,一般,ファイザー,135.5240718,34.70765926
医療法人　藤田会　フジタ病院,大阪市福島区吉野２―１０―１１,大阪市福島区,,かかりつけ,ファイザー,135.4752434,34.69187426
前川医院,大阪市福島区福島８ー１６ー１０,大阪市福島区,06-6452-0778,かかりつけ,ファイザー,135.4838851,34.69721094
田仲循環器科・内科医院,大阪市福島区鷺洲３―７―27　東海ビル2F,大阪市福島区,,かかりつけ,ファイザー,135.4774332,34.69809009
松下医院,大阪市福島区大開２―１―１７,大阪市福島区,06-6461-0288,かかりつけ,ファイザー,135.4716252,34.69187477
医療法人愛幸会　くまだ内科・小児科クリニック,大阪市福島区玉川4-6-11,大阪市福島区,,かかりつけ,ファイザー,135.4777429,34.69018638
林クリニック,大阪市福島区海老江７―２０―８,大阪市福島区,,かかりつけ,ファイザー,135.4689963,34.69592597
医療法人千扇会　はった耳鼻咽喉科,大阪市福島区鷺洲５―６―６９　フローレンスヴィラさぎす１階,大阪市福島区,,かかりつけ,ファイザー,135.4800223,34.6987122
浄正診療所,大阪市福島区福島２―１０―２３,大阪市福島区,06-6451-0565,かかりつけ,ファイザー,135.4865531,34.69496772
医療法人弘正会　ちもりメディカルクリニック,大阪市福島区野田３－１２－１４ １Ｆ,大阪市福島区,06-6467-5200,かかりつけ,ファイザー,135.4757534,34.68907656
医療法人芳朱会　前田ファミリークリニック,大阪市福島区大開３－１－２－１２６,大阪市福島区,06-6464-1527,かかりつけ,ファイザー,135.4686586,34.68992534
医療法人英仁会　大阪ブレストクリニック,大阪市福島区大開１－１３－８,大阪市福島区,06-6465-4108,かかりつけ,ファイザー,135.4732666,34.69358346
医療法人優幸会　中村クリニック,大阪市福島区福島7-6-23-303,大阪市福島区,06-6455-8755,かかりつけ,ファイザー,135.4868817,34.69752001
医療法人笑顔会　福島吉野スマイル内科・循環器内科,大阪市福島区吉野五丁目１１番２２号永和商事ビル１階,大阪市福島区,,かかりつけ,ファイザー,135.4675504,34.68853724
松本クリニック,大阪市福島区鷺洲５－９－８,大阪市福島区,,かかりつけ,ファイザー,135.4780991,34.7002149
ちかこどもくりにっく,大阪市福島区福島５－１８－２５　３Ｆ,大阪市福島区,,かかりつけ,ファイザー,135.484421,34.69600339
阪神野田駅前ファミリークリニック,大阪市福島区鷺洲１－１１－１４阪神ハイグレードマンション１２番館１０１号,大阪市福島区,050-5373-9798,かかりつけ,ファイザー,135.4772236,34.6949853
もりかわ内科クリニック,大阪市福島区玉川４－１４－１１,大阪市福島区,,かかりつけ,ファイザー,135.4776663,34.69078078
医療法人福雅会サギス中クリニック,大阪市福島区鷺洲２―５―１３,大阪市福島区,,かかりつけ,ファイザー,135.4804815,34.69721847
耳鼻咽喉科ふじい医院,大阪市福島区玉川１―７―４,大阪市福島区,06-6449-8799,一般,ファイザー,135.4809195,34.68884787
水都メディカルクリニック,大阪市福島区福島１－１－５１　堂島クロスウォーク４Ｆ,大阪市福島区,06-6451-9020,一般,ファイザー,135.4892524,34.69487188
なかえびえ整形外科,大阪市福島区海老江５－６－１１,大阪市福島区,06-6345-3553,一般,ファイザー,135.4719319,34.69743153
くらます耳鼻咽喉科クリニック,大阪市福島区福島１－１－５１　堂島クロスウォーク４Ｆ,大阪市福島区,,一般,ファイザー,135.4892524,34.69487188
よしの内科クリニック,大阪市福島区鷺洲１－７－２９　パレット１階,大阪市福島区,06-6451-7149,一般,ファイザー,135.4789077,34.69552035
医療法人康心会消化器内視鏡クリニック大阪福島院,大阪市福島区福島５－１８－２５ 阪神エヌケー共同ビル３階,大阪市福島区,06-6454-9000,一般,ファイザー,135.484421,34.69600339
医療法人AWNC　きし脳神経外科リハビリクリニック,大阪市福島区吉野3-22-17,大阪市福島区,06-6476-8988,一般,ファイザー,135.474633,34.69260194
医療法人　美和会　平成野田クリニック,大阪市福島区吉野１－２２－１８,大阪市福島区,06-6448-5247,一般,ファイザー,135.4760457,34.69385724
医療法人　良純会　朝日橋胃腸科・内科診療所,大阪市此花区西九条４―２ー２６,大阪市此花区,06-6462-8710,かかりつけ,ファイザー,135.4655849,34.68211847
栗栖クリニック,大阪市此花区高見２ー４ー１８,大阪市此花区,,かかりつけ,ファイザー,135.4582024,34.69040029
医療法人　板東医院,大阪市此花区春日出中２―１８―２２,大阪市此花区,06-6461-4295,かかりつけ,ファイザー,135.4492928,34.68041738
医療法人村川医院,大阪市此花区伝法２ー４ー２９,大阪市此花区,,かかりつけ,ファイザー,135.4582532,34.68892547
医療法人北星会鎌田クリニック,大阪市此花区春日出北３―１―４,大阪市此花区,,かかりつけ,ファイザー,135.4480038,34.68022864
はやしだ診療所,大阪市此花区春日出中2-17-8,大阪市此花区,06-6463-3299,かかりつけ,ファイザー,135.4500355,34.68051548
医療法人やすだ医院,大阪市此花区西九条３―８―１１,大阪市此花区,06-6463-5446,かかりつけ,ファイザー,135.4656656,34.68355673
うえかわ医院,大阪市此花区梅香３－２０－１２,大阪市此花区,,かかりつけ,ファイザー,135.4566283,34.68338948
医療法人尚清会谷本医院,大阪市此花区酉島３－１８－２２,大阪市此花区,06-6469-1077,かかりつけ,ファイザー,135.4399416,34.68276647
