facility_name,address,ward_name,lng,lat,reception
髙井診療所,大阪府吹田市高城町１３ー１,大阪府吹田市,135.529541,34.761787,6383-6466
相川診療所,大阪府吹田市南高浜町３２ー１９,大阪府吹田市,135.531219,34.75919,6382-6770
もり糖尿病クリニック,大阪府吹田市高浜町１０ー１７ー２F,大阪府吹田市,135.527161,34.760677,6155-6582
佐竹クリニック,大阪府吹田市昭和町１０ー２４ー２F,大阪府吹田市,135.526505,34.762932,6381-0017
泌尿器科かなざわクリニック,大阪府吹田市昭和町１３ー２１,大阪府吹田市,135.527817,34.762203,6383-5665
いざわクリニック,大阪府吹田市昭和町１８ー１５ー１F,大阪府吹田市,135.527512,34.763954,6318-2100
よしのクリニック,大阪府吹田市内本町２ー２ー５ー２F,大阪府吹田市,135.524612,34.758648,6317-1092
いわもと乳腺クリニック,大阪府吹田市寿町１ー４ー１ー１F,大阪府吹田市,135.52005,34.757427,6317-3010
皐　月　病　院,大阪府吹田市寿町２ー７ー２４,大阪府吹田市,135.521912,34.754349,6319-1191
みさき医院,大阪府吹田市岸部南２ー１ー６,大阪府吹田市,135.540848,34.776016,6381-6022
たかぎこどもクリニック,大阪府吹田市岸部南１ー１７ー２６ー２ー２,大阪府吹田市,135.54245,34.776066,6381-8341
長谷クリニック,大阪府吹田市岸部新町５ー４５ー２F,大阪府吹田市,135.537354,34.77626,6386-6567
ひだか内科クリニック,大阪府吹田市岸部北２ー１ー２３,大阪府吹田市,135.53241,34.77737,6170-8272
整友会診療所,大阪府吹田市岸部北３ー１ー２６,大阪府吹田市,135.533997,34.780056,6387-0981
北摂三木病院,大阪府吹田市岸部中４ー２５ー６,大阪府吹田市,135.536713,34.783039,6388-6666
岸辺くすのき透析クリニック,大阪府吹田市岸部中５ー１７ー３３,大阪府吹田市,135.540649,34.781345,6388-7701
松　永　医　院,大阪府吹田市天道町５ー４,大阪府吹田市,135.528061,34.769764,6388-2472
上山クリニック,大阪府吹田市原町１ー３６ー３ー２F,大阪府吹田市,135.529144,34.775642,4861-3561
岡　本　医　院,大阪府吹田市原町４ー２５ー１０,大阪府吹田市,135.52742,34.777534,6388-2030
岩橋クリニック,大阪府吹田市山手町２ー６ー６,大阪府吹田市,135.510101,34.764397,6380-7216
ちばクリニック,大阪府吹田市山手町２ー９ー１,大阪府吹田市,135.509094,34.765667,6388-0358
吉　岡　医　院,大阪府吹田市山手町３ー２４ー８,大阪府吹田市,135.511963,34.769707,6389-5015
絹巻小児科クリニック,大阪府吹田市片山町３ー１７ー８,大阪府吹田市,135.522842,34.766048,6388-0338
井　波　医　院,大阪府吹田市片山町３ー３７ー３,大阪府吹田市,135.523331,34.767876,6388-0705
安部内科クリニック,大阪府吹田市片山町４ー３４ー３２ー１F,大阪府吹田市,135.527634,34.769989,6339-5551
あさひが丘　やぐらクリニック,大阪府吹田市朝日が丘町３３ー１,大阪府吹田市,135.518829,34.773335,6170-8860
井上クリニック,大阪府吹田市上山手町２１ー２８,大阪府吹田市,135.518066,34.776562,6310-8088
うえやま内科クリニック,大阪府吹田市泉町５ー１１ー１２ー２F,大阪府吹田市,135.512009,34.763725,6170-3339
カワバタクリニック,大阪府吹田市豊津町１ー２１ー５F,大阪府吹田市,135.496597,34.760914,6387-0110
吉井クリニック,大阪府吹田市豊津町１ー２１ー５F,大阪府吹田市,135.496597,34.760914,6388-0110
坂　口　外　科,大阪府吹田市豊津町２ー１１ー３F,大阪府吹田市,135.49588,34.761318,6388-8858
きむらクリニック,大阪府吹田市豊津町４ー３８,大阪府吹田市,135.494492,34.761417,6338-5050
