facility_name,ward_name,address,lng,lat,recept_as,ages,reception,workday,remark
富田つじ耳鼻咽喉科,大阪府高槻市,大阪府高槻市大畑町1-3,135.59314,34.838249,一般,,072-696-3633,ＨＰ,阿武野方面
ごうだ内科,大阪府高槻市,大阪府高槻市大畑町8-1,135.591522,34.837132,かかりつけ,,072-693-0016,来院,阿武野方面
松尾医院,大阪府高槻市,大阪府高槻市大畑町11-18,135.590698,34.837036,かかりつけ優先,,072-696-3677,電話・来院,阿武野方面
整形外科リハビリテーション科 たかだクリニック,大阪府高槻市,大阪府高槻市富田丘町2-2 1F,135.589676,34.836086,かかりつけ優先,,072-648-3977,来院,阿武野方面
宮田診療所,大阪府高槻市,大阪府高槻市宮田町2-5-28,135.590805,34.842728,かかりつけ優先,,072-696-0139,電話,阿武野方面
角辻医院,大阪府高槻市,大阪府高槻市宮田町2-16-14,135.58989,34.844158,一般,,072-696-1809,市で,阿武野方面
まの・すぎのここどもクリニック,大阪府高槻市,大阪府高槻市氷室町1-25-1,135.591782,34.850864,かかりつけ優先,,072-669-7033,電話・ＨＰ・来院,阿武野方面
松井診療所,大阪府高槻市,大阪府高槻市氷室町1-30-1-101,135.59166,34.851257,一般,,072-695-7711,来院,阿武野方面
渡辺内科クリニック,大阪府高槻市,大阪府高槻市氷室町4-2-10,135.589676,34.85112,かかりつけ優先,15歳以上,072-695-8800,来院,阿武野方面
田崎医院,大阪府高槻市,大阪府高槻市川西町1-31-12,135.603928,34.849567,かかりつけ優先,,072-681-0689,ＨＰ,阿武野方面
阿部整形外科・内科,大阪府高槻市,大阪府高槻市郡家新町4-31,135.60173,34.849297,かかりつけ,,072-681-0500,来院,阿武野方面
荘野医院,大阪府高槻市,大阪府高槻市郡家新町11-21,135.599365,34.8479,かかりつけ優先,,072-685-0953,来院,阿武野方面
仁寿会郡家クリニック,大阪府高槻市,大阪府高槻市郡家本町6-5,135.595413,34.854778,かかりつけ,,072-686-5001,来院,阿武野方面
