facility_name,address,ward_name,lng,lat,reception,recept_as
川口肛門胃腸クリニック,埼玉県川口市本町4-3-1 2階,埼玉県川口市,139.720215,35.80172,,どなたでも可
うめだDMクリニック,埼玉県川口市本町4-3-1 5階,埼玉県川口市,139.720215,35.80172,048-223-7778,かかりつけ患者優先
おおしまこどもクリニック,埼玉県川口市本町4-4-16-202,埼玉県川口市,139.720612,35.802174,080-6909-8990,どなたでも可
杉浦医院,埼玉県川口市本町4-4-16-301,埼玉県川口市,139.720612,35.802174,048-222-5015,どなたでも可
こんどう内科,埼玉県川口市栄町1-12-21-205,埼玉県川口市,139.727798,35.802231,,かかりつけ患者対応
桐山内科クリニック,埼玉県川口市栄町2-2-10-103,埼玉県川口市,139.721298,35.804432,,かかりつけ患者優先
かわぐち在宅診療所,埼玉県川口市栄町3-10-3 5階,埼玉県川口市,139.719467,35.803661,,かかりつけ患者対応
こむら循環器内科クリニック,埼玉県川口市栄町3-10-18,埼玉県川口市,139.719467,35.803661,,どなたでも可
ヒロクリニック,埼玉県川口市栄町3-11-27 2階,埼玉県川口市,139.718781,35.804802,,どなたでも可
おのだ内科クリニック,埼玉県川口市金山町1-4 1階,埼玉県川口市,139.7202,35.797729,,かかりつけ患者対応
金山町たたら内科,埼玉県川口市金山町12-1-103-2,埼玉県川口市,139.721008,35.796497,,かかりつけ患者対応
たなかファミリークリニック,埼玉県川口市幸町1-1-17-203,埼玉県川口市,139.721573,35.805119,,かかりつけ患者対応
菊池診療所,埼玉県川口市幸町1-8-19,埼玉県川口市,139.723541,35.805206,048-252-5576,どなたでも可
おおはま糖尿病・腎クリニック,埼玉県川口市川口2-8-19 3階,埼玉県川口市,139.717026,35.799191,048-251-5050,かかりつけ患者対応
仁愛医院,埼玉県川口市川口3-2-1-102,埼玉県川口市,139.715195,35.802456,,どなたでも可
あい川口こどもクリニック,埼玉県川口市川口6-2-1 2階,埼玉県川口市,139.710876,35.802765,048-291-8605,かかりつけ患者とその家族対応
北條胃腸科外科,埼玉県川口市川口6-9-48,埼玉県川口市,139.708435,35.804047,048-256-7731,どなたでも可
しば内科・循環器内科クリニック,埼玉県川口市飯塚1-3-6-102,埼玉県川口市,139.715637,35.799957,048-242-3227,どなたでも可
金沢クリニック,埼玉県川口市飯塚3-2-2,埼玉県川口市,139.710663,35.80204,048-250-5551,どなたでも可
西川口中央クリニック,埼玉県川口市西川口1-5-21 5階,埼玉県川口市,139.703918,35.815014,080-1346-4124,どなたでも可
ソフィア祐子レディースクリニック,埼玉県川口市西川口1-26-4 3階,埼玉県川口市,139.70311,35.814117,048-253-7877,どなたでも可
なごみペインクリニック,埼玉県川口市西川口2-2-2 1階,埼玉県川口市,139.702026,35.813087,,かかりつけ患者対応
八代耳鼻咽喉科,埼玉県川口市西川口2-2-9,埼玉県川口市,139.702026,35.813087,048-252-6387,かかりつけ患者対応
本田小児科クリニック,埼玉県川口市西川口2-10-8 2階,埼玉県川口市,139.70108,35.81356,048-253-2223,どなたでも可
川口診療所,埼玉県川口市仲町1-36,埼玉県川口市,139.708267,35.805851,,かかりつけ患者対応
千葉外科内科病院,埼玉県川口市原町4-41,埼玉県川口市,139.707642,35.801544,048-252-3381,どなたでも可
